order_item_id,user_decision
26,1
28,1
37,1
56,1
65,1
80,1
95,0
96,0
100,1
105,0
106,0
108,1
124,1
137,1
141,0
181,1
202,1
205,1
219,1
270,1
276,1
279,1
290,0
292,1
293,1
300,1
301,1
319,1
336,0
358,1
385,1
408,1
417,0
419,1
426,1
435,1
446,1
451,0
455,0
487,1
510,1
518,0
523,0
530,0
534,1
540,1
546,1
548,1
551,1
567,0
570,0
575,0
594,0
610,1
614,1
616,1
618,1
657,1
658,0
668,0
676,0
677,0
693,1
702,1
706,1
711,1
712,1
725,1
728,1
749,1
751,1
756,1
757,1
765,0
771,1
784,0
789,0
792,1
796,1
815,0
824,1
829,1
876,1
880,1
892,1
898,1
906,1
918,1
928,1
931,1
935,0
942,1
943,1
957,1
969,1
971,1
980,1
1009,1
1018,0
1039,1
1046,1
1050,0
1076,1
1087,1
1094,1
1098,1
1107,1
1111,1
1112,1
1116,1
1118,1
1120,1
1124,1
1133,1
1146,0
1152,1
1181,1
1183,1
1193,0
1218,1
1222,1
1230,0
1259,1
1273,1
1280,0
1287,0
1301,1
1302,1
1305,1
1316,1
1317,1
1341,1
1343,1
1347,1
1348,0
1351,1
1352,1
1354,1
1360,1
1364,1
1377,1
1383,1
1386,0
1401,1
1405,1
1413,1
1414,1
1418,1
1426,1
1437,1
1438,1
1443,1
1452,0
1469,1
1493,1
1498,1
1502,1
1505,1
1517,1
1530,1
1536,1
1537,0
1542,0
1543,0
1544,0
1550,1
1596,1
1629,1
1651,1
1665,1
1678,1
1682,0
1684,0
1687,1
1688,1
1691,1
1717,1
1719,1
1733,1
1734,1
1735,1
1753,0
1755,1
1762,1
1780,1
1801,1
1815,0
1816,0
1838,1
1846,1
1848,1
1849,1
1861,1
1862,1
1863,1
1864,1
1872,1
1876,0
1888,1
1892,1
1897,1
1920,1
1922,1
1942,1
1944,1
1946,1
1990,0
2018,0
2019,0
2024,1
2030,1
2043,1
2049,1
2053,1
2070,0
2082,1
2093,1
2099,1
2101,0
2103,0
2109,1
2118,1
2149,1
2163,1
2166,1
2169,0
2172,1
2175,1
2189,1
2195,1
2198,1
2210,1
2232,1
2244,1
2249,1
2256,1
2261,1
2277,1
2292,0
2295,0
2304,1
2310,0
2337,1
2350,1
2355,1
2360,1
2363,1
2390,1
2398,0
2400,1
2402,1
2408,0
2410,0
2420,1
2436,0
2440,1
2453,1
2457,0
2467,1
2479,1
2483,1
2495,1
2514,0
2524,0
2526,0
2527,0
2528,0
2537,0
2550,1
2557,0
2564,1
2567,1
2578,1
2580,1
2583,1
2591,1
2593,1
2606,1
2629,1
2630,1
2631,1
2640,1
2643,0
2686,1
2689,1
2705,0
2712,0
2728,1
2729,1
2733,0
2769,1
2774,1
2775,1
2784,1
2787,0
2792,0
2803,0
2812,0
2819,1
2831,1
2851,1
2869,1
2877,1
2881,1
2904,1
2907,1
2910,0
2987,1
2999,1
3023,1
3029,1
3030,0
3038,1
3040,1
3048,1
3053,1
3062,1
3063,1
3075,1
3076,1
3085,1
3086,1
3087,1
3088,1
3133,1
3166,1
3171,1
3184,0
3195,1
3200,1
3215,1
3227,1
3237,0
3239,1
3248,1
3251,1
3260,0
3276,0
3303,0
3308,0
3312,1
3313,1
3321,0
3324,1
3329,1
3347,0
3349,0
3358,1
3366,0
3367,0
3376,1
3381,1
3386,1
3393,1
3410,1
3420,1
3425,0
3439,1
3453,1
3460,1
3464,0
3499,1
3500,1
3506,1
3514,1
3519,1
3526,0
3530,0
3534,0
3536,0
3542,1
3561,1
3583,0
3597,1
3616,1
3620,1
3626,0
3629,0
3645,0
3646,1
3647,1
3683,1
3689,1
3710,1
3713,1
3717,1
3727,1
3731,1
3734,1
3737,0
3750,1
3758,1
3764,1
3766,1
3781,0
3791,1
3818,1
3846,1
3851,0
3855,1
3864,1
3867,0
3872,1
3880,1
3894,1
3912,1
3923,1
3938,1
3940,1
3943,1
3945,1
3961,1
3964,1
3968,1
4024,1
4028,1
4039,1
4042,1
4051,1
4058,0
4059,0
4063,1
4073,1
4075,1
4081,1
4090,1
4093,1
4119,0
4125,1
4134,1
4138,1
4154,1
4171,1
4179,1
4197,1
4203,1
4208,1
4228,1
4231,1
4235,1
4249,1
4250,0
4252,0
4255,0
4272,1
4313,1
4317,1
4319,1
4323,1
4333,1
4335,1
4337,1
4366,0
4376,1
4380,1
4389,1
4394,1
4404,1
4434,0
4435,0
4457,1
4462,1
4464,1
4467,1
4476,1
4506,0
4514,1
4522,0
4534,1
4535,1
4539,1
4551,1
4553,1
4574,1
4580,1
4581,1
4586,1
4599,0
4613,1
4616,1
4620,0
4623,0
4629,1
4634,1
4635,1
4643,1
4644,1
4647,0
4654,1
4656,1
4682,1
4688,1
4689,1
4691,1
4696,0
4697,1
4699,1
4719,1
4721,0
4744,0
4746,0
4753,1
4761,1
4763,1
4764,0
4772,1
4792,1
4799,0
4807,1
4832,0
4835,0
4846,1
4847,1
4852,1
4853,1
4861,0
4862,0
4868,1
4871,1
4874,0
4893,1
4894,1
4895,1
4897,1
4936,1
4939,1
4945,1
4955,0
4967,1
5035,1
5037,1
5039,1
5040,1
5046,1
5048,1
5053,1
5056,1
5062,1
5071,0
5076,1
5094,1
5100,1
5106,1
5117,1
5164,1
5179,1
5196,1
5210,1
5211,1
5212,1
5213,1
5221,1
5235,1
5236,1
5237,0
5253,0
5303,1
5314,0
5325,0
5328,1
5331,1
5334,1
5339,1
5361,1
5363,1
5386,1
5387,1
5395,1
5413,0
5435,0
5437,0
5464,1
5470,1
5472,0
5477,1
5506,0
5509,0
5517,0
5519,0
5527,1
5554,0
5576,1
5591,1
5597,1
5604,1
5612,1
5629,1
5631,1
5651,1
5652,0
5670,1
5676,0
5704,1
5707,1
5718,1
5722,1
5726,1
5739,1
5742,1
5746,1
5752,1
5754,1
5762,1
5770,0
5784,1
5803,1
5831,1
5835,0
5839,0
5843,1
5860,1
5861,1
5862,1
5869,0
5874,1
5892,1
5896,1
5918,1
5919,1
5936,1
5961,1
5973,0
5976,0
5981,1
5984,0
6001,1
6002,0
6003,1
6018,0
6050,1
6057,1
6068,1
6083,0
6115,1
6120,0
6132,1
6133,1
6139,0
6141,0
6152,0
6157,1
6175,0
6182,0
6186,1
6188,0
6194,1
6196,1
6202,0
6204,1
6214,1
6221,0
6225,1
6227,1
6244,1
6258,1
6267,1
6281,1
6287,0
6321,1
6328,1
6330,1
6339,1
6347,0
6366,1
6371,0
6382,1
6392,0
6407,1
6425,1
6437,0
6439,0
6443,1
6455,1
6458,0
6473,1
6475,1
6481,1
6485,1
6533,1
6546,1
6572,1
6592,1
6596,1
6624,0
6626,0
6637,0
6644,0
6650,1
6675,0
6685,0
6706,1
6714,0
6719,0
6722,1
6727,1
6754,0
6771,0
6781,1
6785,1
6788,1
6801,1
6810,1
6819,0
6832,1
6841,1
6849,0
6855,0
6861,1
6892,1
6894,1
6895,1
6898,1
6901,1
6902,1
6918,0
6922,0
6929,1
6934,1
6942,1
6949,1
6951,0
6958,0
6969,1
6972,1
6987,1
6997,1
7006,1
7011,0
7027,1
7031,1
7032,1
7033,1
7042,1
7047,1
7053,1
7062,1
7065,1
7077,1
7078,1
7112,1
7126,0
7138,1
7151,0
7154,0
7164,1
7173,1
7175,1
7194,1
7198,1
7216,1
7227,1
7228,0
7230,0
7233,1
7247,1
7252,1
7259,0
7262,1
7266,1
7268,1
7274,1
7286,1
7301,1
7321,1
7324,1
7328,1
7335,1
7336,1
7341,0
